order_id,product_name,quantity,unit_price,order_date
1001,Widget B,9,34.5,2025-06-13
1002,Widget A,2,19.99,2025-06-07
1003,Gadget C,10,24.75,2025-06-25
1004,Tool E,8,15.0,2025-06-19
1005,Tool E,9,15.0,2025-06-29
1006,Widget B,4,34.5,2025-06-08
1007,Widget A,10,19.99,2025-06-10
1008,Tool E,2,15.0,2025-06-08
1009,Tool E,8,15.0,2025-06-25
1010,Widget A,3,19.99,2025-06-16
1011,Gadget C,10,24.75,2025-06-12
1012,Widget B,5,34.5,2025-06-22
1013,Widget A,10,19.99,2025-06-04
1014,Gadget D,3,29.99,2025-06-02
1015,Gadget C,7,24.75,2025-06-18
1016,Widget A,3,19.99,2025-06-05
1017,Widget A,10,19.99,2025-06-17
1018,Widget B,2,34.5,2025-06-16
1019,Widget A,5,19.99,2025-06-12
1020,Gadget C,4,24.75,2025-06-13
